angle,date,hour,power
38,2024-03-21,6,
38,2024-03-21,7,32.94035671206301
38,2024-03-21,8,70.99186374435294
38,2024-03-21,9,93.45949251418426
38,2024-03-21,10,168.63356144173986
38,2024-03-21,11,229.3009964922977
38,2024-03-21,12,252.94236044226903
38,2024-03-21,13,234.28923271509322
38,2024-03-21,14,165.28618186781603
38,2024-03-21,15,110.29009210948982
38,2024-03-21,16,44.16981034721033
38,2024-03-21,17,16.45206979202862
38,2024-03-21,18,0.0
38,2024-03-21,19,
38,2024-03-21,20,
38,2024-03-21,21,
38,2024-03-22,6,
38,2024-03-22,7,44.99398022359218
38,2024-03-22,8,132.66448375990436
38,2024-03-22,9,200.67376508064504
38,2024-03-22,10,242.94290010398203
38,2024-03-22,11,257.3190572574875
38,2024-03-22,12,259.6658127842302
38,2024-03-22,13,228.4375386798373
38,2024-03-22,14,203.8194154956484
38,2024-03-22,15,203.16054328925603
38,2024-03-22,16,95.15606885296691
38,2024-03-22,17,61.78265401923548
38,2024-03-22,18,0.0
38,2024-03-22,19,
38,2024-03-22,20,
38,2024-03-22,21,
38,2024-03-23,6,
38,2024-03-23,7,47.06754108092463
38,2024-03-23,8,142.2075712910976
38,2024-03-23,9,221.38497954949875
38,2024-03-23,10,277.53753821432196
38,2024-03-23,11,307.8889966053579
38,2024-03-23,12,325.69136019544834
38,2024-03-23,13,310.9707110600786
38,2024-03-23,14,285.0040874500032
38,2024-03-23,15,244.08863938439038
38,2024-03-23,16,158.77856785336144
38,2024-03-23,17,52.609673743640876
38,2024-03-23,18,0.0
38,2024-03-23,19,
38,2024-03-23,20,
38,2024-03-23,21,
38,2024-03-24,6,
38,2024-03-24,7,27.650925307981552
38,2024-03-24,8,0.0
38,2024-03-24,9,35.47293246615797
38,2024-03-24,10,46.466949123677125
38,2024-03-24,11,58.68048074544756
38,2024-03-24,12,81.95519687183841
38,2024-03-24,13,40.77196886607199
38,2024-03-24,14,33.3314880051981
38,2024-03-24,15,67.14211823370934
38,2024-03-24,16,84.22035844421072
38,2024-03-24,17,35.69786719195487
38,2024-03-24,18,0.0
38,2024-03-24,19,0.0
38,2024-03-24,20,
38,2024-03-24,21,
38,2024-03-25,6,
38,2024-03-25,7,21.624290741263998
38,2024-03-25,8,33.547575976409206
38,2024-03-25,9,104.58203692940974
38,2024-03-25,10,145.048877517726
38,2024-03-25,11,180.20532520506902
38,2024-03-25,12,165.74975938767034
38,2024-03-25,13,230.78253758642597
38,2024-03-25,14,162.5562323328619
38,2024-03-25,15,78.26975677902136
38,2024-03-25,16,28.26236267622233
38,2024-03-25,17,10.285070387981756
38,2024-03-25,18,0.0
38,2024-03-25,19,0.0
38,2024-03-25,20,
38,2024-03-25,21,
38,2024-03-26,6,
38,2024-03-26,7,28.632525687053665
38,2024-03-26,8,31.538199104971635
38,2024-03-26,9,103.07577216757514
38,2024-03-26,10,107.8094182375242
38,2024-03-26,11,175.25669841899924
38,2024-03-26,12,219.03656775031214
38,2024-03-26,13,79.66078060387386
38,2024-03-26,14,116.65206714397694
38,2024-03-26,15,46.33524104617219
38,2024-03-26,16,47.38599566006622
38,2024-03-26,17,19.178894972388687
38,2024-03-26,18,0.0
38,2024-03-26,19,0.0
38,2024-03-26,20,
38,2024-03-26,21,
38,2024-03-27,6,
38,2024-03-27,7,17.440236583609
38,2024-03-27,8,58.650163631110466
38,2024-03-27,9,208.10988918506584
38,2024-03-27,10,210.2566980710684
38,2024-03-27,11,167.24109675255644
38,2024-03-27,12,231.72248187460974
38,2024-03-27,13,39.55532453991524
38,2024-03-27,14,28.34258555114775
38,2024-03-27,15,160.835606071816
38,2024-03-27,16,16.13395116156714
38,2024-03-27,17,59.42958860488729
38,2024-03-27,18,0.0
38,2024-03-27,19,0.0
38,2024-03-27,20,
38,2024-03-27,21,
38,2024-03-28,6,
38,2024-03-28,7,41.7553834448362
38,2024-03-28,8,84.75429595808941
38,2024-03-28,9,74.15723561866821
38,2024-03-28,10,46.91160400330248
38,2024-03-28,11,162.82291832755791
38,2024-03-28,12,43.98104917896035
38,2024-03-28,13,312.396962303183
38,2024-03-28,14,131.44564388502204
38,2024-03-28,15,157.52626045194174
38,2024-03-28,16,80.9578460210336
38,2024-03-28,17,28.752587505464945
38,2024-03-28,18,0.0
38,2024-03-28,19,0.0
38,2024-03-28,20,
38,2024-03-28,21,
38,2024-03-29,6,
38,2024-03-29,7,27.95213464587058
38,2024-03-29,8,86.84227425243563
38,2024-03-29,9,118.10421885163959
38,2024-03-29,10,174.08943397768437
38,2024-03-29,11,76.48095582852815
38,2024-03-29,12,66.02840184310675
38,2024-03-29,13,47.145216411359414
38,2024-03-29,14,90.73472152721621
38,2024-03-29,15,76.37754551478173
38,2024-03-29,16,0.0
38,2024-03-29,17,24.140089700735583
38,2024-03-29,18,0.0
38,2024-03-29,19,0.0
38,2024-03-29,20,
38,2024-03-29,21,
38,2024-03-30,6,
38,2024-03-30,7,24.538467245615344
38,2024-03-30,8,35.072603670537646
38,2024-03-30,9,80.86694098976402
38,2024-03-30,10,56.69036519130287
38,2024-03-30,11,80.4862537309472
38,2024-03-30,12,108.87177020508196
38,2024-03-30,13,108.5574885169255
38,2024-03-30,14,74.44786076946488
38,2024-03-30,15,39.31725758509144
38,2024-03-30,16,23.107429817622535
38,2024-03-30,17,15.805950652807853
38,2024-03-30,18,0.0
38,2024-03-30,19,0.0
38,2024-03-30,20,
38,2024-03-30,21,
38,2024-03-31,6,
38,2024-03-31,7,
38,2024-03-31,8,48.6437331078531
38,2024-03-31,9,55.32029165111816
38,2024-03-31,10,43.20920510481221
38,2024-03-31,11,114.26770386107066
38,2024-03-31,12,198.9931281013175
38,2024-03-31,13,69.63100706136868
38,2024-03-31,14,85.9601460557898
38,2024-03-31,15,37.4846281007743
38,2024-03-31,16,73.62123072416625
38,2024-03-31,17,99.59764590682875
38,2024-03-31,18,0.0
38,2024-03-31,19,0.0
38,2024-03-31,20,0.0
38,2024-03-31,21,
38,2024-04-01,6,
38,2024-04-01,7,
38,2024-04-01,8,29.209274951354125
38,2024-04-01,9,30.121968872246335
38,2024-04-01,10,121.33302416814385
38,2024-04-01,11,195.80241633583486
38,2024-04-01,12,94.83816665254513
38,2024-04-01,13,55.66586346283334
38,2024-04-01,14,65.50349591398619
38,2024-04-01,15,19.850493403629397
38,2024-04-01,16,32.54361077454871
38,2024-04-01,17,12.364763246256807
38,2024-04-01,18,0.0
38,2024-04-01,19,0.0
38,2024-04-01,20,0.0
38,2024-04-01,21,
38,2024-04-02,6,
38,2024-04-02,7,
38,2024-04-02,8,80.70573972415139
38,2024-04-02,9,181.29581378371262
38,2024-04-02,10,246.24290270199145
38,2024-04-02,11,198.99654730994766
38,2024-04-02,12,231.12652167213764
38,2024-04-02,13,237.5266216896481
38,2024-04-02,14,248.28242285533483
38,2024-04-02,15,240.4744243668973
38,2024-04-02,16,178.54572352837283
38,2024-04-02,17,96.52638257948676
38,2024-04-02,18,0.0
38,2024-04-02,19,0.0
38,2024-04-02,20,0.0
38,2024-04-02,21,
38,2024-04-03,6,
38,2024-04-03,7,
38,2024-04-03,8,34.68837604682869
38,2024-04-03,9,51.5094560647742
38,2024-04-03,10,54.92024277719818
38,2024-04-03,11,54.77449740346806
38,2024-04-03,12,91.19432123781945
38,2024-04-03,13,188.3056241099912
38,2024-04-03,14,296.66685257413053
38,2024-04-03,15,243.50467381314715
38,2024-04-03,16,177.50773825132367
38,2024-04-03,17,97.93493262973448
38,2024-04-03,18,0.0
38,2024-04-03,19,0.0
38,2024-04-03,20,0.0
38,2024-04-03,21,
38,2024-04-04,6,
38,2024-04-04,7,
38,2024-04-04,8,79.29442660006129
38,2024-04-04,9,177.23477408286922
38,2024-04-04,10,240.40043883985345
38,2024-04-04,11,232.7362163146322
38,2024-04-04,12,269.2316595622184
38,2024-04-04,13,254.50641608561727
38,2024-04-04,14,209.9776889772894
38,2024-04-04,15,121.21240294094221
38,2024-04-04,16,162.51732442132635
38,2024-04-04,17,69.95154692436162
38,2024-04-04,18,0.0
38,2024-04-04,19,0.0
38,2024-04-04,20,0.0
38,2024-04-04,21,
38,2024-04-05,6,
38,2024-04-05,7,
38,2024-04-05,8,21.114452606675222
38,2024-04-05,9,84.72998332160222
38,2024-04-05,10,165.09444621678412
38,2024-04-05,11,212.98130161405862
38,2024-04-05,12,207.5769779665947
38,2024-04-05,13,172.36663733402736
38,2024-04-05,14,168.81665038501137
38,2024-04-05,15,132.675283244945
38,2024-04-05,16,42.8117450555046
38,2024-04-05,17,19.148822310680472
38,2024-04-05,18,0.0
38,2024-04-05,19,0.0
38,2024-04-05,20,0.0
38,2024-04-05,21,
38,2024-04-06,6,
38,2024-04-06,7,
38,2024-04-06,8,32.48340277018972
38,2024-04-06,9,57.578649968777256
38,2024-04-06,10,64.29903002122413
38,2024-04-06,11,119.85275747746454
38,2024-04-06,12,86.9812336903004
38,2024-04-06,13,107.26914181736791
38,2024-04-06,14,111.14720714664783
38,2024-04-06,15,135.9784552536877
38,2024-04-06,16,93.99117815203861
38,2024-04-06,17,58.52688660163811
38,2024-04-06,18,0.0
38,2024-04-06,19,0.0
38,2024-04-06,20,0.0
38,2024-04-06,21,
38,2024-04-07,6,
38,2024-04-07,7,
38,2024-04-07,8,79.98844727304649
38,2024-04-07,9,103.7277754660851
38,2024-04-07,10,97.94465998104354
38,2024-04-07,11,69.02125605032195
38,2024-04-07,12,56.406980848216435
38,2024-04-07,13,55.76578064774392
38,2024-04-07,14,78.85908223301453
38,2024-04-07,15,104.93369100557982
38,2024-04-07,16,75.50788081028168
38,2024-04-07,17,40.17516919389102
38,2024-04-07,18,0.0
38,2024-04-07,19,0.0
38,2024-04-07,20,0.0
38,2024-04-07,21,
38,2024-04-08,6,
38,2024-04-08,7,
38,2024-04-08,8,77.94009041881503
38,2024-04-08,9,165.30795341784483
38,2024-04-08,10,242.12133179909827
38,2024-04-08,11,283.5952250586374
38,2024-04-08,12,302.0941600732348
38,2024-04-08,13,319.2848851055639
38,2024-04-08,14,316.6238252844184
38,2024-04-08,15,255.2736962872412
38,2024-04-08,16,181.63809101386593
38,2024-04-08,17,88.56433259812046
38,2024-04-08,18,0.0
38,2024-04-08,19,0.0
38,2024-04-08,20,0.0
38,2024-04-08,21,
38,2024-04-09,6,
38,2024-04-09,7,
38,2024-04-09,8,80.02218948142992
38,2024-04-09,9,180.36074434832267
38,2024-04-09,10,257.383869886153
38,2024-04-09,11,297.0446623032354
38,2024-04-09,12,303.65720629523014
38,2024-04-09,13,308.0984875826345
38,2024-04-09,14,319.98958653802
38,2024-04-09,15,264.02216347899025
38,2024-04-09,16,193.3661931826009
38,2024-04-09,17,105.45186582953613
38,2024-04-09,18,0.6608895322701684
38,2024-04-09,19,0.0
38,2024-04-09,20,0.0
38,2024-04-09,21,
38,2024-04-10,6,
38,2024-04-10,7,14.334879691829048
38,2024-04-10,8,43.724381722664724
38,2024-04-10,9,48.01464722137453
38,2024-04-10,10,35.654637292681535
38,2024-04-10,11,115.07318710420232
38,2024-04-10,12,149.6996617760885
38,2024-04-10,13,131.60893599906473
38,2024-04-10,14,115.01574772240922
38,2024-04-10,15,129.84179702434903
38,2024-04-10,16,95.00236798775529
38,2024-04-10,17,94.71133125556707
38,2024-04-10,18,0.9505818367734986
38,2024-04-10,19,0.0
38,2024-04-10,20,0.0
38,2024-04-10,21,
38,2024-04-11,6,
38,2024-04-11,7,28.62589265648826
38,2024-04-11,8,62.51254659432862
38,2024-04-11,9,171.0035063846985
38,2024-04-11,10,223.09234804007662
38,2024-04-11,11,131.33761436350022
38,2024-04-11,12,186.54993245263108
38,2024-04-11,13,25.841514622316417
38,2024-04-11,14,157.26994673142468
38,2024-04-11,15,112.27087599932521
38,2024-04-11,16,116.62952540592406
38,2024-04-11,17,76.38131241674098
38,2024-04-11,18,1.2577148490204
38,2024-04-11,19,0.0
38,2024-04-11,20,0.0
38,2024-04-11,21,
38,2024-04-12,6,
38,2024-04-12,7,66.84237886915638
38,2024-04-12,8,56.058831682685195
38,2024-04-12,9,100.67289404861607
38,2024-04-12,10,121.69563213608
38,2024-04-12,11,116.01296238254136
38,2024-04-12,12,107.88009216144854
38,2024-04-12,13,106.035828524418
38,2024-04-12,14,105.45162654962651
38,2024-04-12,15,72.97047152470498
38,2024-04-12,16,32.72180443369869
38,2024-04-12,17,16.426349233411756
38,2024-04-12,18,0.627855965047213
38,2024-04-12,19,0.0
38,2024-04-12,20,0.0
38,2024-04-12,21,
38,2024-04-13,6,
38,2024-04-13,7,40.14388677023576
38,2024-04-13,8,46.9677370050771
38,2024-04-13,9,100.26197825184192
38,2024-04-13,10,158.70519637453356
38,2024-04-13,11,205.54039248262995
38,2024-04-13,12,154.98381097590106
38,2024-04-13,13,204.8070777464285
38,2024-04-13,14,251.89798288902006
38,2024-04-13,15,220.4899110305963
38,2024-04-13,16,183.24384006366066
38,2024-04-13,17,117.93577121480831
38,2024-04-13,18,4.641160923425259
38,2024-04-13,19,0.0
38,2024-04-13,20,0.0
38,2024-04-13,21,
38,2024-04-14,6,
38,2024-04-14,7,26.467592713622754
38,2024-04-14,8,46.90936834824969
38,2024-04-14,9,67.2419080297308
38,2024-04-14,10,66.65290490815835
38,2024-04-14,11,28.89277261250109
38,2024-04-14,12,42.97643206668313
38,2024-04-14,13,73.82972244355632
38,2024-04-14,14,56.868648347480814
38,2024-04-14,15,120.96180902130565
38,2024-04-14,16,70.77673460138244
38,2024-04-14,17,38.516766518174556
38,2024-04-14,18,14.594939098735878
38,2024-04-14,19,0.0
38,2024-04-14,20,0.0
38,2024-04-14,21,
38,2024-04-15,6,
38,2024-04-15,7,13.63904810420203
38,2024-04-15,8,30.73206013940027
38,2024-04-15,9,82.6382878025127
38,2024-04-15,10,35.92272237136111
38,2024-04-15,11,69.56235778847756
38,2024-04-15,12,140.5911662843739
38,2024-04-15,13,106.97257397673889
38,2024-04-15,14,49.33057838960008
38,2024-04-15,15,108.53661869707972
38,2024-04-15,16,73.68602152763974
38,2024-04-15,17,97.04255409509399
38,2024-04-15,18,7.713083748687389
38,2024-04-15,19,0.0
38,2024-04-15,20,0.0
38,2024-04-15,21,
38,2024-04-16,6,
38,2024-04-16,7,30.98185767185801
38,2024-04-16,8,51.62678456720684
38,2024-04-16,9,91.46300330407007
38,2024-04-16,10,169.44181695401616
38,2024-04-16,11,147.64063130703295
38,2024-04-16,12,200.56301301386117
38,2024-04-16,13,184.9769596643109
38,2024-04-16,14,126.06651484811097
38,2024-04-16,15,109.97143264863308
38,2024-04-16,16,77.84772936844135
38,2024-04-16,17,13.6531281390674
38,2024-04-16,18,0.6192914078381208
38,2024-04-16,19,0.0
38,2024-04-16,20,0.0
38,2024-04-16,21,
38,2024-04-17,6,
38,2024-04-17,7,24.372190070916705
38,2024-04-17,8,63.14767990025943
38,2024-04-17,9,84.11203250103067
38,2024-04-17,10,101.42114253687667
38,2024-04-17,11,186.4725546453299
38,2024-04-17,12,255.1369511702328
38,2024-04-17,13,221.40257945812914
38,2024-04-17,14,262.6576326434613
38,2024-04-17,15,220.74047526176818
38,2024-04-17,16,160.1579621684504
38,2024-04-17,17,58.664746054829735
38,2024-04-17,18,26.95397284546827
38,2024-04-17,19,0.0
38,2024-04-17,20,0.0
38,2024-04-17,21,
38,2024-04-18,6,
38,2024-04-18,7,38.05688208336014
38,2024-04-18,8,59.15445917196759
38,2024-04-18,9,158.12466130649813
38,2024-04-18,10,161.20426385883684
38,2024-04-18,11,135.4111995188956
38,2024-04-18,12,131.6914371260608
38,2024-04-18,13,247.72286753197375
38,2024-04-18,14,262.043810833097
38,2024-04-18,15,119.39491621922275
38,2024-04-18,16,221.25379633602338
38,2024-04-18,17,137.35762895472183
38,2024-04-18,18,11.341251640326742
38,2024-04-18,19,0.0
38,2024-04-18,20,0.0
38,2024-04-18,21,
38,2024-04-19,6,
38,2024-04-19,7,33.715493591432995
38,2024-04-19,8,80.51765149083955
38,2024-04-19,9,180.85682112092405
38,2024-04-19,10,202.8409728929559
38,2024-04-19,11,166.40958891392955
38,2024-04-19,12,188.73393920639705
38,2024-04-19,13,142.4058157063547
38,2024-04-19,14,205.15677374586306
38,2024-04-19,15,157.36600263739712
38,2024-04-19,16,105.819763644617
38,2024-04-19,17,134.619319736433
38,2024-04-19,18,22.222635084643755
38,2024-04-19,19,0.0
38,2024-04-19,20,0.0
38,2024-04-19,21,
38,2024-04-20,6,
38,2024-04-20,7,45.651188668385686
38,2024-04-20,8,84.36352128023915
38,2024-04-20,9,178.5297513511882
38,2024-04-20,10,252.46388501206698
38,2024-04-20,11,286.4166458164533
38,2024-04-20,12,302.9064241719255
38,2024-04-20,13,313.79339329062344
38,2024-04-20,14,322.60003271845176
38,2024-04-20,15,276.9745697508448
38,2024-04-20,16,207.3725199354135
38,2024-04-20,17,130.48250458294828
38,2024-04-20,18,22.925307181503747
38,2024-04-20,19,0.0
38,2024-04-20,20,0.0
38,2024-04-20,21,
38,2024-04-21,6,
38,2024-04-21,7,25.119704054911114
38,2024-04-21,8,51.177979110521974
38,2024-04-21,9,125.88584772124875
38,2024-04-21,10,166.24135470449158
38,2024-04-21,11,51.790710854356554
38,2024-04-21,12,67.88312878491827
38,2024-04-21,13,53.12290378787223
38,2024-04-21,14,38.1849768932318
38,2024-04-21,15,49.09180313693859
38,2024-04-21,16,39.14912445951053
38,2024-04-21,17,18.469430926780113
38,2024-04-21,18,2.737879178883051
38,2024-04-21,19,0.0
38,2024-04-21,20,0.0
38,2024-04-21,21,
38,2024-04-22,6,
38,2024-04-22,7,20.69000222511613
38,2024-04-22,8,69.02435943853123
38,2024-04-22,9,58.013479427556646
38,2024-04-22,10,78.63599230009498
38,2024-04-22,11,92.28082998871182
38,2024-04-22,12,159.89368127148498
38,2024-04-22,13,216.68949378517942
